gRNA	gene	rep_1_bulk	rep_2_bulk	rep_3_bulk	rep_4_bulk	SS_LDL_b12_rep_1	SS_LDL_b25_rep_1	SS_LDL_t25_rep_1	SS_LDL_t12_rep_1	SS_LDL_b12_rep_2	SS_LDL_b25_rep_2	SS_LDL_t25_rep_2	SS_LDL_t12_rep_2	SS_LDL_b12_rep_3	SS_LDL_b25_rep_3	SS_LDL_t25_rep_3	SS_LDL_t12_rep_3	SS_LDL_b12_rep_4	SS_LDL_b25_rep_4	SS_LDL_t25_rep_4	SS_LDL_t12_rep_4	ser_LDL_b12_rep_1	ser_LDL_b25_rep_1	ser_LDL_t25_rep_1	ser_LDL_t12_rep_1	ser_LDL_b12_rep_2	ser_LDL_b25_rep_2	ser_LDL_t25_rep_2	ser_LDL_t12_rep_2	ser_LDL_b12_rep_3	ser_LDL_b25_rep_3	ser_LDL_t25_rep_3	ser_LDL_t12_rep_3	ser_LDL_b12_rep_4	ser_LDL_b25_rep_4	ser_LDL_t25_rep_4	ser_LDL_t12_rep_4	SS_LDL_b_rep_1	SS_LDL_t_rep_1	SS_LDL_b_rep_2	SS_LDL_t_rep_2	SS_LDL_b_rep_3	SS_LDL_t_rep_3	SS_LDL_b_rep_4	SS_LDL_t_rep_4	ser_LDL_b_rep_1	ser_LDL_t_rep_1	ser_LDL_b_rep_2	ser_LDL_t_rep_2	ser_LDL_b_rep_3	ser_LDL_t_rep_3	ser_LDL_b_rep_4	ser_LDL_t_rep_4
CTRL_1	CTRL	89.74401914	73.55277559	56.5889529	78.70550116	118.3020695	83.89145586	94.0114694	84.49894321	60.07150581	79.94492265	88.59807243	110.5097112	86.72468135	124.7557173	79.59014347	111.6402197	99.00595743	121.2764628	90.6043993	94.20014656	89.1607006	89.51543275	93.15816617	118.412074	82.33978051	96.25286085	69.35804792	79.52259562	95.40758878	84.25563785	104.8522869	109.5131748	81.68962145	107.0085556	110.7778695	77.60549358	202.1935254	178.5104126	140.0164285	199.1077836	211.4803986	191.2303632	220.2824202	184.8045459	178.6761334	211.5702402	178.5926414	148.8806435	179.6632266	214.3654617	188.6981771	188.3833631
CTRL_10	CTRL	365.4170349	327.1627458	330.1887527	350.8770387	483.3748623	417.0138388	489.386808	505.8962704	369.7504754	390.3193282	384.1934595	318.4580925	375.3939778	405.8230098	455.7353421	415.237364	408.5418243	382.4873056	372.2330738	406.5480009	482.9537949	439.8769115	435.9802177	467.6273432	386.7474539	376.6084159	401.6986942	380.8124297	267.3301745	390.0723974	389.7339719	431.5340579	369.9372857	365.4443126	364.1141448	423.504265	900.3887011	995.2830784	760.0698036	702.651552	781.2169876	870.972706	791.0291299	778.7810747	922.8307064	903.6075608	763.3558698	782.5111239	657.4025719	821.2680299	735.3815984	787.6184098
CTRL_100	CTRL	417.3740986	428.9597872	383.1435527	430.9016265	414.0572434	404.7966365	497.2943148	448.832049	415.3219626	469.3237224	474.402406	360.0477687	380.3496739	416.09701	404.492373	389.5360184	413.0938224	487.9045386	436.4111899	497.773406	433.4200724	461.0526052	434.489687	448.5609923	523.9804214	410.220526	400.9762145	435.6942211	420.3601684	472.2476492	559.871645	537.136048	422.4520424	503.7478232	537.5450716	460.089712	818.8538799	946.1263638	884.6456849	834.4501747	796.446684	794.0283914	900.998361	934.184596	894.4726776	883.0506793	934.2009474	836.6704356	892.6078175	1097.007693	926.1998656	997.6347836
CTRL_101	CTRL	387.3162931	395.4197216	450.6349644	410.6756318	373.390907	428.416561	374.2886539	486.1432707	466.0720278	480.6100644	511.452509	484.8167975	375.3939778	420.500153	400.1312692	447.3640459	381.2298361	456.1860791	470.3878397	411.5059034	376.4562914	485.1158936	464.3003002	405.4108297	479.8995288	497.3064477	464.5544251	427.8539652	341.0112827	487.8505451	456.9977031	418.4967752	512.310626	458.3196628	434.0313247	491.1319094	801.807468	860.4319246	946.6820922	996.2693065	795.8941308	847.4953151	837.4159152	881.8937431	861.5721851	869.7111299	977.2059766	892.4083903	828.8618277	875.4944784	970.6302888	925.1632341
CTRL_102	CTRL	36.49876377	40.01270992	55.03145879	45.72833587	36.04516182	55.38465047	41.29475759	42.79816604	50.75006525	51.7290676	46.71534728	66.54348201	29.73417646	30.08814358	52.33324502	68.26919911	22.75999021	37.31583469	66.44322615	63.46115136	35.49916783	32.72607219	48.44224641	48.16762333	64.87376646	64.1685739	27.4542273	51.52168167	34.00666531	32.24598485	65.28538616	27.37829371	37.34382695	39.37107236	42.67672021	36.58544697	91.42981228	84.09292363	102.4791328	113.2588293	59.82232005	120.6024441	60.07582491	129.9043775	68.22524002	96.60986974	129.0423404	78.97590897	66.25265016	92.66367987	76.71489931	79.26216719
CTRL_103	CTRL	472.7663401	461.9114307	422.6000703	439.6955372	487.071802	535.1134612	451.6064979	499.3119372	499.2149276	484.3721784	514.6742571	503.8292209	410.0838504	441.7820107	391.4090617	383.9138491	475.6837955	493.5019138	408.4748335	422.4132888	544.0453861	534.2050019	569.3827116	556.9381447	628.7765057	471.3334535	539.6923104	449.1346598	354.2360969	398.3939419	444.1384604	449.7862537	514.6446151	425.0056785	484.8801828	430.1561644	1022.185263	950.918435	983.587106	1018.503478	851.865861	775.3229108	969.1857093	830.8881223	1078.250388	1126.320856	1100.109959	988.8269701	752.6300389	893.9247142	939.6502937	915.0363473
CTRL_104	CTRL	351.2469266	368.9407223	356.6661527	357.9121673	398.3452498	364.0726288	386.58922	353.3592171	386.3219253	373.3898152	339.8944233	371.9305334	328.3148651	392.6135809	411.0340286	356.6061694	376.677838	377.8228263	409.9849068	313.3394349	392.9675323	355.1741364	345.8031128	315.0965359	370.1131548	361.330184	362.6847922	348.3313695	278.6657296	385.9116252	377.8639017	456.3048951	351.2653722	402.7963557	419.5030795	399.113967	762.4178786	739.948437	759.7117405	711.8249567	720.928446	767.640198	754.5006643	723.3243417	748.1416687	660.8996488	731.4433388	711.0161618	664.5773548	834.1687968	754.0617279	818.6170465
CTRL_105	CTRL	138.2659051	122.9802408	120.4462117	142.4613541	117.3778346	96.10865817	123.0056609	122.9075538	160.5359207	153.3061458	186.0559521	178.2414697	138.7594902	138.6990033	117.7498013	100.395881	138.8359403	130.6054214	124.581049	135.8465271	117.2298101	146.3047933	118.4971874	159.5552523	177.9870003	168.8244623	166.1703231	172.4856299	79.34888571	102.9791129	148.3758776	143.4101099	149.3753078	130.2273932	153.4545897	123.0601398	213.4864928	245.9132147	313.8420665	364.2974218	277.4584935	218.1456823	269.4413617	260.4275762	263.5346034	278.0524396	346.8114626	338.6559531	182.3279986	291.7859875	279.602701	276.5147295
CTRL_106	CTRL	648.8192006	653.7370694	613.6526819	646.3524397	695.9488935	627.1497186	844.3460009	702.3288787	641.1079671	608.5219406	705.5628313	688.0120729	666.5411224	755.8728754	678.1516334	596.7531169	774.9776668	739.7864228	707.4693512	642.5441576	790.8884368	760.3999126	778.8022692	724.5213342	693.6502722	722.660368	624.2224313	693.3026294	590.3934949	705.2508946	764.6303561	624.4858422	821.5641929	795.4975645	655.5870637	617.5179989	1323.098612	1546.67488	1249.629908	1393.574904	1422.413998	1274.90475	1514.76409	1350.013509	1551.288349	1503.323603	1416.31064	1317.525061	1295.644389	1389.116198	1617.061757	1273.105063
CTRL_107	CTRL	734.2692475	813.7879091	783.9387053	804.6428331	636.7978587	855.2041617	802.1726314	842.7946544	1026.394177	856.8214651	942.3613158	916.1611541	738.3987155	818.9845912	862.4082669	795.1353778	756.7696746	741.6522146	793.5435305	763.5169773	893.2581301	864.3533184	855.5645981	825.8740417	894.0935762	905.2352389	932.7212486	825.4669432	613.0646051	869.601398	843.7641575	942.5955405	893.9178576	778.3358151	867.1546341	808.2057832	1492.00202	1644.967286	1883.215642	1858.52247	1557.383307	1657.543645	1498.421889	1557.060508	1757.611449	1681.43864	1799.328815	1758.188192	1482.666003	1786.359698	1672.253673	1675.360417
